notch,notchdesc,srg,srgdesc,mcp,mcpdesc
alq/b,(Lahb;IIILadd;)V,net/minecraft/block/BlockJukebox/func_149926_b,(Lnet/minecraft/world/World;IIILnet/minecraft/item/ItemStack;)V,net/minecraft/block/BlockJukebox/func_149926_b,(Lnet/minecraft/world/World;IIILnet/minecraft/item/ItemStack;)V
ako/c,(Lahb;III)Z,net/minecraft/block/BlockDoublePlant/func_149742_c,(Lnet/minecraft/world/World;III)Z,net/minecraft/block/BlockDoublePlant/canPlaceBlockAt,(Lnet/minecraft/world/World;III)Z
bfl/a,(III)V,net/minecraft/client/gui/inventory/GuiContainerCreative/func_73864_a,(III)V,net/minecraft/client/gui/inventory/GuiContainerCreative/mouseClicked,(III)V
ajx/b,(Lahb;III)V,net/minecraft/block/BlockChest/func_149726_b,(Lnet/minecraft/world/World;III)V,net/minecraft/block/BlockChest/onBlockAdded,(Lnet/minecraft/world/World;III)V
ags/b,()I,net/minecraft/block/BlockEventData/func_151342_b,()I,net/minecraft/block/BlockEventData/func_151342_b,()I
bbw/a,(IIIIII)V,net/minecraft/client/gui/Gui/func_73733_a,(IIIIII)V,net/minecraft/client/gui/Gui/drawGradientRect,(IIIIII)V
adb/f,()Z,net/minecraft/item/Item/func_77662_d,()Z,net/minecraft/item/Item/isFull3D,()Z
aki/g,(Lahb;IIII)I,net/minecraft/block/BlockRailDetector/func_149736_g,(Lnet/minecraft/world/World;IIII)I,net/minecraft/block/BlockRailDetector/getComparatorInputOverride,(Lnet/minecraft/world/World;IIII)I
yv/j,(Z)V,net/minecraft/entity/passive/EntityVillager/func_70939_f,(Z)V,net/minecraft/entity/passive/EntityVillager/setPlaying,(Z)V
aof/a,(Lahb;IIII)V,net/minecraft/block/BlockTripWire/func_150138_a,(Lnet/minecraft/world/World;IIII)V,net/minecraft/block/BlockTripWire/func_150138_a,(Lnet/minecraft/world/World;IIII)V
acv/g,()Z,net/minecraft/item/ItemFishingRod/func_77629_n_,()Z,net/minecraft/item/ItemFishingRod/shouldRotateAroundWhenRendering,()Z
amb/b,(Lahb;IIII)V,net/minecraft/block/BlockSilverfish/func_149664_b,(Lnet/minecraft/world/World;IIII)V,net/minecraft/block/BlockSilverfish/onBlockDestroyedByPlayer,(Lnet/minecraft/world/World;IIII)V
ahx/toString,()Ljava/lang/String;,net/minecraft/world/biome/BiomeGenBase$SpawnListEntry/toString,()Ljava/lang/String;,net/minecraft/world/biome/BiomeGenBase$SpawnListEntry/toString,()Ljava/lang/String;
fa/a,(Lio/netty/channel/ChannelHandlerContext;Lft;Lio/netty/buffer/ByteBuf;)V,net/minecraft/util/MessageSerializer/encode,(Lio/netty/channel/ChannelHandlerContext;Lnet/minecraft/network/Packet;Lio/netty/buffer/ByteBuf;)V,net/minecraft/util/MessageSerializer/encode,(Lio/netty/channel/ChannelHandlerContext;Lnet/minecraft/network/Packet;Lio/netty/buffer/ByteBuf;)V
xk/i,()Ljava/lang/String;,net/minecraft/entity/item/EntityItem/func_145798_i,()Ljava/lang/String;,net/minecraft/entity/item/EntityItem/func_145798_i,()Ljava/lang/String;
ags/a,()I,net/minecraft/block/BlockEventData/func_151340_a,()I,net/minecraft/block/BlockEventData/func_151340_a,()I
ym/x,()I,net/minecraft/entity/monster/EntitySlime/func_70646_bf,()I,net/minecraft/entity/monster/EntitySlime/getVerticalFaceSpeed,()I
mz/channelRead,(Lio/netty/channel/ChannelHandlerContext;Ljava/lang/Object;)V,net/minecraft/network/PingResponseHandler/channelRead,(Lio/netty/channel/ChannelHandlerContext;Ljava/lang/Object;)V,net/minecraft/network/PingResponseHandler/channelRead,(Lio/netty/channel/ChannelHandlerContext;Ljava/lang/Object;)V
bbw/b,(IIIIII)V,net/minecraft/client/gui/Gui/func_73729_b,(IIIIII)V,net/minecraft/client/gui/Gui/drawTexturedModalRect,(IIIIII)V
afq/b,()I,net/minecraft/enchantment/EnchantmentDamage/func_77325_b,()I,net/minecraft/enchantment/EnchantmentDamage/getMaxLevel,()I
wt/bk,()Z,net/minecraft/entity/monster/EntityIronGolem/func_70650_aV,()Z,net/minecraft/entity/monster/EntityIronGolem/isAIEnabled,()Z
agh/b,()I,net/minecraft/enchantment/EnchantmentOxygen/func_77325_b,()I,net/minecraft/enchantment/EnchantmentOxygen/getMaxLevel,()I
aok/a,(ILjava/util/Random;I)Ladb;,net/minecraft/block/BlockWeb/func_149650_a,(ILjava/util/Random;I)Lnet/minecraft/item/Item;,net/minecraft/block/BlockWeb/getItemDropped,(ILjava/util/Random;I)Lnet/minecraft/item/Item;
yv/i,(Z)V,net/minecraft/entity/passive/EntityVillager/func_70947_e,(Z)V,net/minecraft/entity/passive/EntityVillager/setMating,(Z)V
wi/cX,()D,net/minecraft/entity/passive/EntityHorse/func_110203_cN,()D,net/minecraft/entity/passive/EntityHorse/func_110203_cN,()D
ako/e,(Lahb;III)V,net/minecraft/block/BlockDoublePlant/func_149855_e,(Lnet/minecraft/world/World;III)V,net/minecraft/block/BlockDoublePlant/checkAndDropBlock,(Lnet/minecraft/world/World;III)V
bdg/a,(IIF)V,net/minecraft/client/gui/GuiScreenAddServer/func_73863_a,(IIF)V,net/minecraft/client/gui/GuiScreenAddServer/drawScreen,(IIF)V
yv/b,(Ljava/lang/String;)V,net/minecraft/entity/passive/EntityVillager/func_70942_a,(Ljava/lang/String;)V,net/minecraft/entity/passive/EntityVillager/generateRandomParticles,(Ljava/lang/String;)V
xk/j,()Ljava/lang/String;,net/minecraft/entity/item/EntityItem/func_145800_j,()Ljava/lang/String;,net/minecraft/entity/item/EntityItem/func_145800_j,()Ljava/lang/String;
cw/c,(Ljava/lang/Object;)Ljava/lang/String;,net/minecraft/util/RegistryNamespaced/func_148750_c,(Ljava/lang/Object;)Ljava/lang/String;,net/minecraft/util/RegistryNamespaced/getNameForObject,(Ljava/lang/Object;)Ljava/lang/String;
bgm/a,(IIF)V,net/minecraft/client/gui/stream/GuiIngestServers/func_73863_a,(IIF)V,net/minecraft/client/gui/stream/GuiIngestServers/drawScreen,(IIF)V
yz/b,(Lfj;)V,net/minecraft/entity/player/EntityPlayer/func_146105_b,(Lnet/minecraft/util/IChatComponent;)V,net/minecraft/entity/player/EntityPlayer/addChatComponentMessage,(Lnet/minecraft/util/IChatComponent;)V
bgb/a,(IIIIILbmh;IIZ)V,net/minecraft/client/gui/ServerListEntryLanDetected/func_148279_a,(IIIIILnet/minecraft/client/renderer/Tessellator;IIZ)V,net/minecraft/client/gui/ServerListEntryLanDetected/drawEntry,(IIIIILnet/minecraft/client/renderer/Tessellator;IIZ)V
adb/h,()Z,net/minecraft/item/Item/func_77643_m_,()Z,net/minecraft/item/Item/isMap,()Z
abt/l,()I,net/minecraft/creativetab/CreativeTabs/func_78020_k,()I,net/minecraft/creativetab/CreativeTabs/getTabColumn,()I
st/j,()Ladd;,net/minecraft/entity/item/EntityItemFrame/func_82335_i,()Lnet/minecraft/item/ItemStack;,net/minecraft/entity/item/EntityItemFrame/getDisplayedItem,()Lnet/minecraft/item/ItemStack;
wi/cW,()D,net/minecraft/entity/passive/EntityHorse/func_110245_cM,()D,net/minecraft/entity/passive/EntityHorse/func_110245_cM,()D
ahu/e,()Z,net/minecraft/world/biome/BiomeGenBase/func_76738_d,()Z,net/minecraft/world/biome/BiomeGenBase/canSpawnLightningBolt,()Z
yn/b,(ZI)V,net/minecraft/entity/monster/EntitySpider/func_70628_a,(ZI)V,net/minecraft/entity/monster/EntitySpider/dropFewItems,(ZI)V
wi/cU,()V,net/minecraft/entity/passive/EntityHorse/func_110220_cK,()V,net/minecraft/entity/passive/EntityHorse/makeHorseRear,()V
te/a,(Ljava/util/List;Let;)V,net/minecraft/entity/DataWatcher/func_151507_a,(Ljava/util/List;Lnet/minecraft/network/PacketBuffer;)V,net/minecraft/entity/DataWatcher/writeWatchedListToPacketBuffer,(Ljava/util/List;Lnet/minecraft/network/PacketBuffer;)V
wi/b_,()Ljava/lang/String;,net/minecraft/entity/passive/EntityHorse/func_70005_c_,()Ljava/lang/String;,net/minecraft/entity/passive/EntityHorse/getCommandSenderName,()Ljava/lang/String;
akc/a,(ILjava/util/Random;I)Ladb;,net/minecraft/block/BlockRedstoneComparator/func_149650_a,(ILjava/util/Random;I)Lnet/minecraft/item/Item;,net/minecraft/block/BlockRedstoneComparator/getItemDropped,(ILjava/util/Random;I)Lnet/minecraft/item/Item;
adb/l,()V,net/minecraft/item/Item/func_150900_l,()V,net/minecraft/item/Item/registerItems,()V
nz/a,(Ljava/lang/String;)Ljava/lang/String;,net/minecraft/server/management/PreYggdrasilConverter/func_152719_a,(Ljava/lang/String;)Ljava/lang/String;,net/minecraft/server/management/PreYggdrasilConverter/func_152719_a,(Ljava/lang/String;)Ljava/lang/String;
zi/a,(Lazu;)V,net/minecraft/entity/projectile/EntitySmallFireball/func_70227_a,(Lnet/minecraft/util/MovingObjectPosition;)V,net/minecraft/entity/projectile/EntitySmallFireball/onImpact,(Lnet/minecraft/util/MovingObjectPosition;)V
alw/a,(Lahb;IIILsa;Lazw;)V,net/minecraft/block/BlockLiquid/func_149640_a,(Lnet/minecraft/world/World;IIILnet/minecraft/entity/Entity;Lnet/minecraft/util/Vec3;)V,net/minecraft/block/BlockLiquid/velocityToAddToEntity,(Lnet/minecraft/world/World;IIILnet/minecraft/entity/Entity;Lnet/minecraft/util/Vec3;)V
bnb/a,(Lzc;DDDFF)V,net/minecraft/client/renderer/entity/RenderArrow/func_76986_a,(Lnet/minecraft/entity/projectile/EntityArrow;DDDFF)V,net/minecraft/client/renderer/entity/RenderArrow/doRender,(Lnet/minecraft/entity/projectile/EntityArrow;DDDFF)V
bbu/e,(Ljava/lang/String;I)I,net/minecraft/client/gui/FontRenderer/func_78259_e,(Ljava/lang/String;I)I,net/minecraft/client/gui/FontRenderer/sizeStringToWidth,(Ljava/lang/String;I)I
acr/a,(Ladd;Ljava/lang/String;)Ldy;,net/minecraft/item/ItemFireworkCharge/func_150903_a,(Lnet/minecraft/item/ItemStack;Ljava/lang/String;)Lnet/minecraft/nbt/NBTBase;,net/minecraft/item/ItemFireworkCharge/func_150903_a,(Lnet/minecraft/item/ItemStack;Ljava/lang/String;)Lnet/minecraft/nbt/NBTBase;
wi/cV,()F,net/minecraft/entity/passive/EntityHorse/func_110267_cL,()F,net/minecraft/entity/passive/EntityHorse/func_110267_cL,()F
aji/a,(Lahb;IIILaji;)V,net/minecraft/block/Block/func_149695_a,(Lnet/minecraft/world/World;IIILnet/minecraft/block/Block;)V,net/minecraft/block/Block/onNeighborBlockChange,(Lnet/minecraft/world/World;IIILnet/minecraft/block/Block;)V
dh/a,(Ljava/lang/String;I)V,net/minecraft/nbt/NBTTagCompound/func_74768_a,(Ljava/lang/String;I)V,net/minecraft/nbt/NBTTagCompound/setInteger,(Ljava/lang/String;I)V
aki/a,(Lahb;IIII)V,net/minecraft/block/BlockRailDetector/func_150054_a,(Lnet/minecraft/world/World;IIII)V,net/minecraft/block/BlockRailDetector/func_150054_a,(Lnet/minecraft/world/World;IIII)V
bnx/a,(Lst;)Lbqx;,net/minecraft/client/renderer/tileentity/RenderItemFrame/func_110775_a,(Lnet/minecraft/entity/item/EntityItemFrame;)Lnet/minecraft/util/ResourceLocation;,net/minecraft/client/renderer/tileentity/RenderItemFrame/getEntityTexture,(Lnet/minecraft/entity/item/EntityItemFrame;)Lnet/minecraft/util/ResourceLocation;
net/minecraft/server/MinecraftServer/a,(Lrd;)V,net/minecraft/server/MinecraftServer/func_147139_a,(Lnet/minecraft/world/EnumDifficulty;)V,net/minecraft/server/MinecraftServer/func_147139_a,(Lnet/minecraft/world/EnumDifficulty;)V
bno/a,(Lrg;)V,net/minecraft/client/renderer/entity/Render/func_94143_a,(Lnet/minecraft/client/renderer/texture/IIconRegister;)V,net/minecraft/client/renderer/entity/Render/updateIcons,(Lnet/minecraft/client/renderer/texture/IIconRegister;)V
ahu/d,()Z,net/minecraft/world/biome/BiomeGenBase/func_76746_c,()Z,net/minecraft/world/biome/BiomeGenBase/getEnableSnow,()Z
wi/cT,()Z,net/minecraft/entity/passive/EntityHorse/func_110200_cJ,()Z,net/minecraft/entity/passive/EntityHorse/func_110200_cJ,()Z
ajw/a,(ILjava/util/Random;I)Ladb;,net/minecraft/block/BlockCauldron/func_149650_a,(ILjava/util/Random;I)Lnet/minecraft/item/Item;,net/minecraft/block/BlockCauldron/getItemDropped,(ILjava/util/Random;I)Lnet/minecraft/item/Item;
bij/a,(Lsv;FFF)V,net/minecraft/client/model/ModelIronGolem/func_78086_a,(Lnet/minecraft/entity/EntityLivingBase;FFF)V,net/minecraft/client/model/ModelIronGolem/setLivingAnimations,(Lnet/minecraft/entity/EntityLivingBase;FFF)V
dh/b,(Ljava/lang/String;I)Z,net/minecraft/nbt/NBTTagCompound/func_150297_b,(Ljava/lang/String;I)Z,net/minecraft/nbt/NBTTagCompound/hasKey,(Ljava/lang/String;I)Z
abt/m,()Z,net/minecraft/creativetab/CreativeTabs/func_78023_l,()Z,net/minecraft/creativetab/CreativeTabs/isTabInFirstRow,()Z
ex/a,(IJ)V,net/minecraft/network/NetworkStatistics$Tracker/func_152488_a,(IJ)V,net/minecraft/network/NetworkStatistics$Tracker/func_152488_a,(IJ)V
bpv/d,()Ljava/util/List;,net/minecraft/client/renderer/texture/Stitcher/func_94309_g,()Ljava/util/List;,net/minecraft/client/renderer/texture/Stitcher/getStichSlots,()Ljava/util/List;
ajt/a,(Lahb;IIILaji;)V,net/minecraft/block/BlockCactus/func_149695_a,(Lnet/minecraft/world/World;IIILnet/minecraft/block/Block;)V,net/minecraft/block/BlockCactus/onNeighborBlockChange,(Lnet/minecraft/world/World;IIILnet/minecraft/block/Block;)V
bfv/a,(IIF)V,net/minecraft/client/gui/GuiMerchant/func_73863_a,(IIF)V,net/minecraft/client/gui/GuiMerchant/drawScreen,(IIF)V
ags/e,()I,net/minecraft/block/BlockEventData/func_151338_e,()I,net/minecraft/block/BlockEventData/getEventParameter,()I
bhs/a,(Lsv;FFF)V,net/minecraft/client/model/ModelHorse/func_78086_a,(Lnet/minecraft/entity/EntityLivingBase;FFF)V,net/minecraft/client/model/ModelHorse/setLivingAnimations,(Lnet/minecraft/entity/EntityLivingBase;FFF)V
tn/a,(Ljava/util/UUID;)Ltj;,net/minecraft/entity/ai/attributes/ModifiableAttributeInstance/func_111127_a,(Ljava/util/UUID;)Lnet/minecraft/entity/ai/attributes/AttributeModifier;,net/minecraft/entity/ai/attributes/ModifiableAttributeInstance/getModifier,(Ljava/util/UUID;)Lnet/minecraft/entity/ai/attributes/AttributeModifier;
ahj/d,()J,net/minecraft/world/WorldSettings/func_77160_d,()J,net/minecraft/world/WorldSettings/getSeed,()J
ard/a,([I[ILaji;)V,net/minecraft/world/gen/feature/WorldGenBigTree/func_150530_a,([I[ILnet/minecraft/block/Block;)V,net/minecraft/world/gen/feature/WorldGenBigTree/func_150530_a,([I[ILnet/minecraft/block/Block;)V
wi/cS,()V,net/minecraft/entity/passive/EntityHorse/func_110249_cI,()V,net/minecraft/entity/passive/EntityHorse/openHorseMouth,()V
btj/a,(Lbst;I)V,net/minecraft/client/audio/SoundManager/func_148599_a,(Lnet/minecraft/client/audio/ISound;I)V,net/minecraft/client/audio/SoundManager/addDelayedSound,(Lnet/minecraft/client/audio/ISound;I)V
wg/i,(Z)V,net/minecraft/entity/passive/EntityChicken/func_152117_i,(Z)V,net/minecraft/entity/passive/EntityChicken/func_152117_i,(Z)V
adb/n,()Z,net/minecraft/item/Item/func_77614_k,()Z,net/minecraft/item/Item/getHasSubtypes,()Z
ajx/e,(Lahb;III)V,net/minecraft/block/BlockChest/func_149954_e,(Lnet/minecraft/world/World;III)V,net/minecraft/block/BlockChest/func_149954_e,(Lnet/minecraft/world/World;III)V
ahj/c,()Z,net/minecraft/world/WorldSettings/func_77167_c,()Z,net/minecraft/world/WorldSettings/isBonusChestEnabled,()Z
fo/a,(La;)Lfn;,net/minecraft/util/ChatStyle$1/func_150238_a,(Lnet/minecraft/util/EnumChatFormatting;)Lnet/minecraft/util/ChatStyle;,net/minecraft/util/ChatStyle$1/setColor,(Lnet/minecraft/util/EnumChatFormatting;)Lnet/minecraft/util/ChatStyle;
acv/i,()Lrf;,net/minecraft/item/ItemFishingRod/func_94597_g,()Lnet/minecraft/util/IIcon;,net/minecraft/item/ItemFishingRod/func_94597_g,()Lnet/minecraft/util/IIcon;
bej/d,(Lbej;)Lbbu;,net/minecraft/client/gui/achievement/GuiStats/access$300,(Lnet/minecraft/client/gui/achievement/GuiStats;)Lnet/minecraft/client/gui/FontRenderer;,net/minecraft/client/gui/achievement/GuiStats/access$300,(Lnet/minecraft/client/gui/achievement/GuiStats;)Lnet/minecraft/client/gui/FontRenderer;
ags/d,()I,net/minecraft/block/BlockEventData/func_151339_d,()I,net/minecraft/block/BlockEventData/getEventID,()I
adb/m,(Ladd;)Z,net/minecraft/item/Item/func_150892_m,(Lnet/minecraft/item/ItemStack;)Z,net/minecraft/item/Item/isPotionIngredient,(Lnet/minecraft/item/ItemStack;)Z
aov/k_,()Z,net/minecraft/tileentity/TileEntityBrewingStand/func_145818_k_,()Z,net/minecraft/tileentity/TileEntityBrewingStand/hasCustomInventoryName,()Z
wi/cR,()V,net/minecraft/entity/passive/EntityHorse/func_110210_cH,()V,net/minecraft/entity/passive/EntityHorse/func_110210_cH,()V
xv/v,()Z,net/minecraft/entity/item/EntityMinecartTNT/func_96096_ay,()Z,net/minecraft/entity/item/EntityMinecartTNT/isIgnited,()Z
et/hasMemoryAddress,()Z,net/minecraft/network/PacketBuffer/hasMemoryAddress,()Z,net/minecraft/network/PacketBuffer/hasMemoryAddress,()Z
qj/a,(Lqj;)I,net/minecraft/profiler/Profiler$Result/compareTo,(Lnet/minecraft/profiler/Profiler$Result;)I,net/minecraft/profiler/Profiler$Result/compareTo,(Lnet/minecraft/profiler/Profiler$Result;)I
bbu/b,(Ljava/lang/String;I)I,net/minecraft/client/gui/FontRenderer/func_78267_b,(Ljava/lang/String;I)I,net/minecraft/client/gui/FontRenderer/splitStringWidth,(Ljava/lang/String;I)I
aia/a,()V,net/minecraft/world/biome/BiomeDecorator/func_76797_b,()V,net/minecraft/world/biome/BiomeDecorator/generateOres,()V
bei/b,(IIF)V,net/minecraft/client/gui/achievement/GuiAchievements/func_146552_b,(IIF)V,net/minecraft/client/gui/achievement/GuiAchievements/func_146552_b,(IIF)V
bnt/a,(Lyd;)Lbqx;,net/minecraft/client/renderer/entity/RenderGhast/func_110775_a,(Lnet/minecraft/entity/monster/EntityGhast;)Lnet/minecraft/util/ResourceLocation;,net/minecraft/client/renderer/entity/RenderGhast/getEntityTexture,(Lnet/minecraft/entity/monster/EntityGhast;)Lnet/minecraft/util/ResourceLocation;
yx/b,()Ljava/lang/String;,net/minecraft/entity/player/InventoryPlayer/func_145825_b,()Ljava/lang/String;,net/minecraft/entity/player/InventoryPlayer/getInventoryName,()Ljava/lang/String;
adb/m,()I,net/minecraft/item/Item/func_77639_j,()I,net/minecraft/item/Item/getItemStackLimit,()I
bej/e,(Lbej;)Lbbu;,net/minecraft/client/gui/achievement/GuiStats/access$400,(Lnet/minecraft/client/gui/achievement/GuiStats;)Lnet/minecraft/client/gui/FontRenderer;,net/minecraft/client/gui/achievement/GuiStats/access$400,(Lnet/minecraft/client/gui/achievement/GuiStats;)Lnet/minecraft/client/gui/FontRenderer;
bjk/a,(Lph;I)V,net/minecraft/client/entity/EntityClientPlayerMP/func_71064_a,(Lnet/minecraft/stats/StatBase;I)V,net/minecraft/client/entity/EntityClientPlayerMP/addStat,(Lnet/minecraft/stats/StatBase;I)V
bej/k,(Lbej;)Lbbu;,net/minecraft/client/gui/achievement/GuiStats/access$1100,(Lnet/minecraft/client/gui/achievement/GuiStats;)Lnet/minecraft/client/gui/FontRenderer;,net/minecraft/client/gui/achievement/GuiStats/access$1100,(Lnet/minecraft/client/gui/achievement/GuiStats;)Lnet/minecraft/client/gui/FontRenderer;
anu/d,(Lahb;III)Ladb;,net/minecraft/block/BlockStem/func_149694_d,(Lnet/minecraft/world/World;III)Lnet/minecraft/item/Item;,net/minecraft/block/BlockStem/getItem,(Lnet/minecraft/world/World;III)Lnet/minecraft/item/Item;
mz/a,(Lio/netty/channel/ChannelHandlerContext;Lio/netty/buffer/ByteBuf;)V,net/minecraft/network/PingResponseHandler/func_151256_a,(Lio/netty/channel/ChannelHandlerContext;Lio/netty/buffer/ByteBuf;)V,net/minecraft/network/PingResponseHandler/func_151256_a,(Lio/netty/channel/ChannelHandlerContext;Lio/netty/buffer/ByteBuf;)V
wv/a,(Lrx;)Lrx;,net/minecraft/entity/passive/EntityWolf/func_90011_a,(Lnet/minecraft/entity/EntityAgeable;)Lnet/minecraft/entity/EntityAgeable;,net/minecraft/entity/passive/EntityWolf/createChild,(Lnet/minecraft/entity/EntityAgeable;)Lnet/minecraft/entity/EntityAgeable;
adb/l,(Ladd;)Z,net/minecraft/item/Item/func_77630_h,(Lnet/minecraft/item/ItemStack;)Z,net/minecraft/item/Item/doesContainerItemLeaveCraftingGrid,(Lnet/minecraft/item/ItemStack;)Z
nv/a,(Lnv;)Ljava/util/Date;,net/minecraft/server/management/PlayerProfileCache$ProfileEntry/access$200,(Lnet/minecraft/server/management/PlayerProfileCache$ProfileEntry;)Ljava/util/Date;,net/minecraft/server/management/PlayerProfileCache$ProfileEntry/access$200,(Lnet/minecraft/server/management/PlayerProfileCache$ProfileEntry;)Ljava/util/Date;
sg/b,()Ljava/util/Set;,net/minecraft/entity/EntityList/func_151515_b,()Ljava/util/Set;,net/minecraft/entity/EntityList/func_151515_b,()Ljava/util/Set;
wi/cb,()Z,net/minecraft/entity/passive/EntityHorse/func_110228_bR,()Z,net/minecraft/entity/passive/EntityHorse/isAdultHorse,()Z
awj/b,(DDD)D,net/minecraft/world/gen/NoiseGeneratorImproved/func_76311_b,(DDD)D,net/minecraft/world/gen/NoiseGeneratorImproved/lerp,(DDD)D
ans/a,(Lahb;IIILagw;)V,net/minecraft/block/BlockStairs/func_149723_a,(Lnet/minecraft/world/World;IIILnet/minecraft/world/Explosion;)V,net/minecraft/block/BlockStairs/onBlockDestroyedByExplosion,(Lnet/minecraft/world/World;IIILnet/minecraft/world/Explosion;)V
alb/a,(Lahb;IIILaji;)V,net/minecraft/block/BlockFire/func_149695_a,(Lnet/minecraft/world/World;IIILnet/minecraft/block/Block;)V,net/minecraft/block/BlockFire/onNeighborBlockChange,(Lnet/minecraft/world/World;IIILnet/minecraft/block/Block;)V
bej/j,(Lbej;)Lbbu;,net/minecraft/client/gui/achievement/GuiStats/access$1000,(Lnet/minecraft/client/gui/achievement/GuiStats;)Lnet/minecraft/client/gui/FontRenderer;,net/minecraft/client/gui/achievement/GuiStats/access$1000,(Lnet/minecraft/client/gui/achievement/GuiStats;)Lnet/minecraft/client/gui/FontRenderer;
bej/l,(Lbej;)Lbbu;,net/minecraft/client/gui/achievement/GuiStats/access$1200,(Lnet/minecraft/client/gui/achievement/GuiStats;)Lnet/minecraft/client/gui/FontRenderer;,net/minecraft/client/gui/achievement/GuiStats/access$1200,(Lnet/minecraft/client/gui/achievement/GuiStats;)Lnet/minecraft/client/gui/FontRenderer;
wi/ca,()I,net/minecraft/entity/passive/EntityHorse/func_110202_bQ,()I,net/minecraft/entity/passive/EntityHorse/getHorseVariant,()I
abt/a,()I,net/minecraft/creativetab/CreativeTabs/func_78021_a,()I,net/minecraft/creativetab/CreativeTabs/getTabIndex,()I
bjf/a,(ILsa;)V,net/minecraft/client/multiplayer/WorldClient/func_73027_a,(ILnet/minecraft/entity/Entity;)V,net/minecraft/client/multiplayer/WorldClient/addEntityToWorld,(ILnet/minecraft/entity/Entity;)V
aks/b,(Lahb;IIILjava/util/Random;)V,net/minecraft/block/BlockEnchantmentTable/func_149734_b,(Lnet/minecraft/world/World;IIILjava/util/Random;)V,net/minecraft/block/BlockEnchantmentTable/randomDisplayTick,(Lnet/minecraft/world/World;IIILjava/util/Random;)V
afv/a,(Ladd;Lsz;)F,net/minecraft/enchantment/EnchantmentHelper/func_152377_a,(Lnet/minecraft/item/ItemStack;Lnet/minecraft/entity/EnumCreatureAttribute;)F,net/minecraft/enchantment/EnchantmentHelper/func_152377_a,(Lnet/minecraft/item/ItemStack;Lnet/minecraft/entity/EnumCreatureAttribute;)F
