notch,srg,mcp
net/minecraft/realms/ServerPing,net/minecraft/realms/ServerPing,net/minecraft/realms/ServerPing
net/minecraft/realms/RendererUtility,net/minecraft/realms/RendererUtility,net/minecraft/realms/RendererUtility
net/minecraft/realms/RealmsMth,net/minecraft/realms/RealmsMth,net/minecraft/realms/RealmsMth
net/minecraft/realms/Realms,net/minecraft/realms/Realms,net/minecraft/realms/Realms
net/minecraft/realms/RealmsServerAddress,net/minecraft/realms/RealmsServerAddress,net/minecraft/realms/RealmsServerAddress
net/minecraft/realms/Tezzelator,net/minecraft/realms/Tezzelator,net/minecraft/realms/Tezzelator
net/minecraft/realms/RealmsServerStatusPinger,net/minecraft/realms/RealmsServerStatusPinger,net/minecraft/realms/RealmsServerStatusPinger
aaa,net/minecraft/inventory/ContainerBrewingStand$Ingredient,net/minecraft/inventory/ContainerBrewingStand$Ingredient
aac,net/minecraft/inventory/ICrafting,net/minecraft/inventory/ICrafting
aab,net/minecraft/inventory/ContainerBrewingStand$Potion,net/minecraft/inventory/ContainerBrewingStand$Potion
aae,net/minecraft/inventory/InventoryCrafting,net/minecraft/inventory/InventoryCrafting
aad,net/minecraft/inventory/ContainerChest,net/minecraft/inventory/ContainerChest
aag,net/minecraft/inventory/ContainerEnchantment,net/minecraft/inventory/ContainerEnchantment
aaf,net/minecraft/inventory/ContainerWorkbench,net/minecraft/inventory/ContainerWorkbench
aai,net/minecraft/inventory/ContainerEnchantment$2,net/minecraft/inventory/ContainerEnchantment$2
aah,net/minecraft/inventory/ContainerEnchantment$1,net/minecraft/inventory/ContainerEnchantment$1
aak,net/minecraft/inventory/SlotFurnace,net/minecraft/inventory/SlotFurnace
aaj,net/minecraft/inventory/ContainerFurnace,net/minecraft/inventory/ContainerFurnace
aam,net/minecraft/inventory/ContainerHorseInventory,net/minecraft/inventory/ContainerHorseInventory
aal,net/minecraft/inventory/ContainerHopper,net/minecraft/inventory/ContainerHopper
aao,net/minecraft/inventory/ContainerHorseInventory$2,net/minecraft/inventory/ContainerHorseInventory$2
aan,net/minecraft/inventory/ContainerHorseInventory$1,net/minecraft/inventory/ContainerHorseInventory$1
aaq,net/minecraft/inventory/ContainerPlayer$1,net/minecraft/inventory/ContainerPlayer$1
aap,net/minecraft/inventory/ContainerPlayer,net/minecraft/inventory/ContainerPlayer
aas,net/minecraft/inventory/InventoryMerchant,net/minecraft/inventory/InventoryMerchant
aau,net/minecraft/inventory/SlotMerchantResult,net/minecraft/inventory/SlotMerchantResult
aat,net/minecraft/inventory/ContainerMerchant,net/minecraft/inventory/ContainerMerchant
aaw,net/minecraft/inventory/InventoryCraftResult,net/minecraft/inventory/InventoryCraftResult
aav,net/minecraft/inventory/InventoryEnderChest,net/minecraft/inventory/InventoryEnderChest
aay,net/minecraft/inventory/Slot,net/minecraft/inventory/Slot
aax,net/minecraft/inventory/SlotCrafting,net/minecraft/inventory/SlotCrafting
aaz,net/minecraft/inventory/ContainerDispenser,net/minecraft/inventory/ContainerDispenser
abb,net/minecraft/item/ItemArmor,net/minecraft/item/ItemArmor
aba,net/minecraft/item/ItemAnvilBlock,net/minecraft/item/ItemAnvilBlock
abd,net/minecraft/item/ItemArmor$ArmorMaterial,net/minecraft/item/ItemArmor$ArmorMaterial
abc,net/minecraft/item/ItemArmor$1,net/minecraft/item/ItemArmor$1
abf,net/minecraft/item/ItemAxe,net/minecraft/item/ItemAxe
abe,net/minecraft/item/ItemBlockWithMetadata,net/minecraft/item/ItemBlockWithMetadata
abh,net/minecraft/item/ItemBlock,net/minecraft/item/ItemBlock
abg,net/minecraft/item/ItemBed,net/minecraft/item/ItemBed
abj,net/minecraft/item/ItemBoat,net/minecraft/item/ItemBoat
abi,net/minecraft/item/ItemReed,net/minecraft/item/ItemReed
abl,net/minecraft/item/ItemGlassBottle,net/minecraft/item/ItemGlassBottle
abk,net/minecraft/item/ItemBook,net/minecraft/item/ItemBook
abn,net/minecraft/item/ItemSoup,net/minecraft/item/ItemSoup
abm,net/minecraft/item/ItemBow,net/minecraft/item/ItemBow
abp,net/minecraft/item/ItemCarrotOnAStick,net/minecraft/item/ItemCarrotOnAStick
abo,net/minecraft/item/ItemBucket,net/minecraft/item/ItemBucket
abr,net/minecraft/item/ItemColored,net/minecraft/item/ItemColored
abq,net/minecraft/item/ItemCoal,net/minecraft/item/ItemCoal
abt,net/minecraft/creativetab/CreativeTabs,net/minecraft/creativetab/CreativeTabs
abs,net/minecraft/item/ItemMapBase,net/minecraft/item/ItemMapBase
abv,net/minecraft/creativetab/CreativeTabs$10,net/minecraft/creativetab/CreativeTabs$10
abu,net/minecraft/creativetab/CreativeTabs$1,net/minecraft/creativetab/CreativeTabs$1
abx,net/minecraft/creativetab/CreativeTabs$12,net/minecraft/creativetab/CreativeTabs$12
abw,net/minecraft/creativetab/CreativeTabs$11,net/minecraft/creativetab/CreativeTabs$11
abz,net/minecraft/creativetab/CreativeTabs$3,net/minecraft/creativetab/CreativeTabs$3
aby,net/minecraft/creativetab/CreativeTabs$2,net/minecraft/creativetab/CreativeTabs$2
aca,net/minecraft/creativetab/CreativeTabs$4,net/minecraft/creativetab/CreativeTabs$4
acc,net/minecraft/creativetab/CreativeTabs$6,net/minecraft/creativetab/CreativeTabs$6
acb,net/minecraft/creativetab/CreativeTabs$5,net/minecraft/creativetab/CreativeTabs$5
ace,net/minecraft/creativetab/CreativeTabs$8,net/minecraft/creativetab/CreativeTabs$8
acd,net/minecraft/creativetab/CreativeTabs$7,net/minecraft/creativetab/CreativeTabs$7
acg,net/minecraft/item/ItemTool,net/minecraft/item/ItemTool
acf,net/minecraft/creativetab/CreativeTabs$9,net/minecraft/creativetab/CreativeTabs$9
aci,net/minecraft/item/ItemDoublePlant,net/minecraft/item/ItemDoublePlant
ach,net/minecraft/item/ItemDoor,net/minecraft/item/ItemDoor
ack,net/minecraft/item/ItemEgg,net/minecraft/item/ItemEgg
acj,net/minecraft/item/ItemDye,net/minecraft/item/ItemDye
acm,net/minecraft/item/ItemEnchantedBook,net/minecraft/item/ItemEnchantedBook
acl,net/minecraft/item/ItemEmptyMap,net/minecraft/item/ItemEmptyMap
aco,net/minecraft/item/ItemEnderPearl,net/minecraft/item/ItemEnderPearl
acn,net/minecraft/item/ItemEnderEye,net/minecraft/item/ItemEnderEye
acq,net/minecraft/item/ItemFireball,net/minecraft/item/ItemFireball
acp,net/minecraft/item/ItemExpBottle,net/minecraft/item/ItemExpBottle
acs,net/minecraft/item/ItemFirework,net/minecraft/item/ItemFirework
acr,net/minecraft/item/ItemFireworkCharge,net/minecraft/item/ItemFireworkCharge
acu,net/minecraft/item/ItemFishFood$FishType,net/minecraft/item/ItemFishFood$FishType
act,net/minecraft/item/ItemFishFood,net/minecraft/item/ItemFishFood
acw,net/minecraft/item/ItemFlintAndSteel,net/minecraft/item/ItemFlintAndSteel
acv,net/minecraft/item/ItemFishingRod,net/minecraft/item/ItemFishingRod
acy,net/minecraft/item/ItemAppleGold,net/minecraft/item/ItemAppleGold
acx,net/minecraft/item/ItemFood,net/minecraft/item/ItemFood
acz,net/minecraft/item/ItemHangingEntity,net/minecraft/item/ItemHangingEntity
adb,net/minecraft/item/Item,net/minecraft/item/Item
ada,net/minecraft/item/ItemHoe,net/minecraft/item/ItemHoe
add,net/minecraft/item/ItemStack,net/minecraft/item/ItemStack
adc,net/minecraft/item/Item$ToolMaterial,net/minecraft/item/Item$ToolMaterial
adf,net/minecraft/item/ItemLead,net/minecraft/item/ItemLead
ade,net/minecraft/init/Items,net/minecraft/init/Items
adh,net/minecraft/item/ItemMap,net/minecraft/item/ItemMap
adg,net/minecraft/item/ItemLeaves,net/minecraft/item/ItemLeaves
adj,net/minecraft/item/ItemMinecart,net/minecraft/item/ItemMinecart
adi,net/minecraft/item/ItemBucketMilk,net/minecraft/item/ItemBucketMilk
adl,net/minecraft/item/ItemMultiTexture,net/minecraft/item/ItemMultiTexture
adk,net/minecraft/item/ItemMinecart$1,net/minecraft/item/ItemMinecart$1
adn,net/minecraft/item/ItemPickaxe,net/minecraft/item/ItemPickaxe
adm,net/minecraft/item/ItemNameTag,net/minecraft/item/ItemNameTag
adp,net/minecraft/item/ItemPotion,net/minecraft/item/ItemPotion
ado,net/minecraft/item/ItemPiston,net/minecraft/item/ItemPiston
adr,net/minecraft/item/ItemRecord,net/minecraft/item/ItemRecord
adq,net/minecraft/item/EnumRarity,net/minecraft/item/EnumRarity
adt,net/minecraft/item/ItemSaddle,net/minecraft/item/ItemSaddle
ads,net/minecraft/item/ItemRedstone,net/minecraft/item/ItemRedstone
adv,net/minecraft/item/ItemSeedFood,net/minecraft/item/ItemSeedFood
adx,net/minecraft/item/ItemShears,net/minecraft/item/ItemShears
adw,net/minecraft/item/ItemSeeds,net/minecraft/item/ItemSeeds
adz,net/minecraft/item/ItemSign,net/minecraft/item/ItemSign
ady,net/minecraft/item/ItemSpade,net/minecraft/item/ItemSpade
aea,net/minecraft/item/ItemSimpleFoiled,net/minecraft/item/ItemSimpleFoiled
aec,net/minecraft/item/ItemSnow,net/minecraft/item/ItemSnow
aeb,net/minecraft/item/ItemSkull,net/minecraft/item/ItemSkull
aee,net/minecraft/item/ItemMonsterPlacer,net/minecraft/item/ItemMonsterPlacer
aed,net/minecraft/item/ItemSnowball,net/minecraft/item/ItemSnowball
aeg,net/minecraft/item/ItemSlab,net/minecraft/item/ItemSlab
aei,net/minecraft/item/EnumAction,net/minecraft/item/EnumAction
aeh,net/minecraft/item/ItemSword,net/minecraft/item/ItemSword
aek,net/minecraft/item/ItemCloth,net/minecraft/item/ItemCloth
aej,net/minecraft/item/ItemLilyPad,net/minecraft/item/ItemLilyPad
aem,net/minecraft/item/ItemEditableBook,net/minecraft/item/ItemEditableBook
ael,net/minecraft/item/ItemWritableBook,net/minecraft/item/ItemWritableBook
aen,net/minecraft/potion/PotionHelper,net/minecraft/potion/PotionHelper
aeu,net/minecraft/item/crafting/RecipesArmorDyes,net/minecraft/item/crafting/RecipesArmorDyes
aew,net/minecraft/item/crafting/RecipeBookCloning,net/minecraft/item/crafting/RecipeBookCloning
aev,net/minecraft/item/crafting/RecipesArmor,net/minecraft/item/crafting/RecipesArmor
aey,net/minecraft/item/crafting/RecipeFireworks,net/minecraft/item/crafting/RecipeFireworks
aex,net/minecraft/item/crafting/RecipesDyes,net/minecraft/item/crafting/RecipesDyes
aez,net/minecraft/item/crafting/RecipesFood,net/minecraft/item/crafting/RecipesFood
afb,net/minecraft/item/crafting/RecipesMapCloning,net/minecraft/item/crafting/RecipesMapCloning
afa,net/minecraft/item/crafting/FurnaceRecipes,net/minecraft/item/crafting/FurnaceRecipes
afd,net/minecraft/item/crafting/RecipesIngots,net/minecraft/item/crafting/RecipesIngots
afc,net/minecraft/item/crafting/RecipesMapExtending,net/minecraft/item/crafting/RecipesMapExtending
aff,net/minecraft/item/crafting/CraftingManager$1,net/minecraft/item/crafting/CraftingManager$1
afe,net/minecraft/item/crafting/CraftingManager,net/minecraft/item/crafting/CraftingManager
afh,net/minecraft/item/crafting/ShapedRecipes,net/minecraft/item/crafting/ShapedRecipes
afg,net/minecraft/item/crafting/IRecipe,net/minecraft/item/crafting/IRecipe
afj,net/minecraft/item/crafting/RecipesCrafting,net/minecraft/item/crafting/RecipesCrafting
afi,net/minecraft/item/crafting/ShapelessRecipes,net/minecraft/item/crafting/ShapelessRecipes
afl,net/minecraft/item/crafting/RecipesWeapons,net/minecraft/item/crafting/RecipesWeapons
afk,net/minecraft/item/crafting/RecipesTools,net/minecraft/item/crafting/RecipesTools
afn,net/minecraft/enchantment/EnchantmentArrowFire,net/minecraft/enchantment/EnchantmentArrowFire
afm,net/minecraft/enchantment/EnchantmentArrowDamage,net/minecraft/enchantment/EnchantmentArrowDamage
afp,net/minecraft/enchantment/EnchantmentArrowKnockback,net/minecraft/enchantment/EnchantmentArrowKnockback
afo,net/minecraft/enchantment/EnchantmentArrowInfinite,net/minecraft/enchantment/EnchantmentArrowInfinite
afr,net/minecraft/enchantment/EnchantmentDurability,net/minecraft/enchantment/EnchantmentDurability
afq,net/minecraft/enchantment/EnchantmentDamage,net/minecraft/enchantment/EnchantmentDamage
aft,net/minecraft/enchantment/Enchantment,net/minecraft/enchantment/Enchantment
afs,net/minecraft/enchantment/EnchantmentDigging,net/minecraft/enchantment/EnchantmentDigging
afv,net/minecraft/enchantment/EnchantmentHelper,net/minecraft/enchantment/EnchantmentHelper
afu,net/minecraft/enchantment/EnumEnchantmentType,net/minecraft/enchantment/EnumEnchantmentType
afx,net/minecraft/enchantment/EnchantmentHelper$DamageIterator,net/minecraft/enchantment/EnchantmentHelper$DamageIterator
afw,net/minecraft/enchantment/EnchantmentHelper$1,net/minecraft/enchantment/EnchantmentHelper$1
afz,net/minecraft/enchantment/EnchantmentHelper$IModifier,net/minecraft/enchantment/EnchantmentHelper$IModifier
afy,net/minecraft/enchantment/EnchantmentHelper$HurtIterator,net/minecraft/enchantment/EnchantmentHelper$HurtIterator
aga,net/minecraft/enchantment/EnchantmentHelper$ModifierLiving,net/minecraft/enchantment/EnchantmentHelper$ModifierLiving
net/minecraft/realms/RealmsBridge,net/minecraft/realms/RealmsBridge,net/minecraft/realms/RealmsBridge
agc,net/minecraft/enchantment/EnchantmentData,net/minecraft/enchantment/EnchantmentData
agb,net/minecraft/enchantment/EnchantmentHelper$ModifierDamage,net/minecraft/enchantment/EnchantmentHelper$ModifierDamage
age,net/minecraft/enchantment/EnchantmentFishingSpeed,net/minecraft/enchantment/EnchantmentFishingSpeed
agd,net/minecraft/enchantment/EnchantmentFireAspect,net/minecraft/enchantment/EnchantmentFireAspect
agg,net/minecraft/enchantment/EnchantmentLootBonus,net/minecraft/enchantment/EnchantmentLootBonus
agf,net/minecraft/enchantment/EnchantmentKnockback,net/minecraft/enchantment/EnchantmentKnockback
agi,net/minecraft/enchantment/EnchantmentProtection,net/minecraft/enchantment/EnchantmentProtection
agh,net/minecraft/enchantment/EnchantmentOxygen,net/minecraft/enchantment/EnchantmentOxygen
agk,net/minecraft/enchantment/EnchantmentUntouching,net/minecraft/enchantment/EnchantmentUntouching
agj,net/minecraft/enchantment/EnchantmentThorns,net/minecraft/enchantment/EnchantmentThorns
agm,net/minecraft/entity/IMerchant,net/minecraft/entity/IMerchant
agl,net/minecraft/enchantment/EnchantmentWaterWorker,net/minecraft/enchantment/EnchantmentWaterWorker
ago,net/minecraft/village/MerchantRecipeList,net/minecraft/village/MerchantRecipeList
agn,net/minecraft/village/MerchantRecipe,net/minecraft/village/MerchantRecipe
agq,net/minecraft/tileentity/MobSpawnerBaseLogic,net/minecraft/tileentity/MobSpawnerBaseLogic
agp,net/minecraft/command/server/CommandBlockLogic,net/minecraft/command/server/CommandBlockLogic
ags,net/minecraft/block/BlockEventData,net/minecraft/block/BlockEventData
agr,net/minecraft/tileentity/MobSpawnerBaseLogic$WeightedRandomMinecart,net/minecraft/tileentity/MobSpawnerBaseLogic$WeightedRandomMinecart
agu,net/minecraft/world/ChunkCoordIntPair,net/minecraft/world/ChunkCoordIntPair
agt,net/minecraft/world/ChunkPosition,net/minecraft/world/ChunkPosition
agw,net/minecraft/world/Explosion,net/minecraft/world/Explosion
agy,net/minecraft/world/GameRules,net/minecraft/world/GameRules
agx,net/minecraft/world/ColorizerFoliage,net/minecraft/world/ColorizerFoliage
agz,net/minecraft/world/GameRules$Value,net/minecraft/world/GameRules$Value
net/minecraft/realms/RealmsScreen,net/minecraft/realms/RealmsScreen,net/minecraft/realms/RealmsScreen
ahb,net/minecraft/world/World,net/minecraft/world/World
aha,net/minecraft/world/ColorizerGrass,net/minecraft/world/ColorizerGrass
ahd,net/minecraft/world/World$2,net/minecraft/world/World$2
ahc,net/minecraft/world/World$1,net/minecraft/world/World$1
ahf,net/minecraft/world/World$4,net/minecraft/world/World$4
ahe,net/minecraft/world/World$3,net/minecraft/world/World$3
ahh,net/minecraft/world/IWorldAccess,net/minecraft/world/IWorldAccess
ahg,net/minecraft/world/MinecraftException,net/minecraft/world/MinecraftException
ahj,net/minecraft/world/WorldSettings,net/minecraft/world/WorldSettings
ahl,net/minecraft/world/IBlockAccess,net/minecraft/world/IBlockAccess
ahk,net/minecraft/world/WorldSettings$GameType,net/minecraft/world/WorldSettings$GameType
ahn,net/minecraft/world/EnumSkyBlock,net/minecraft/world/EnumSkyBlock
ahm,net/minecraft/world/WorldType,net/minecraft/world/WorldType
ahp,net/minecraft/world/Teleporter,net/minecraft/world/Teleporter
aho,net/minecraft/world/SpawnerAnimals,net/minecraft/world/SpawnerAnimals
ahr,net/minecraft/world/ChunkCache,net/minecraft/world/ChunkCache
ahq,net/minecraft/world/Teleporter$PortalPosition,net/minecraft/world/Teleporter$PortalPosition
aht,net/minecraft/world/biome/BiomeGenBeach,net/minecraft/world/biome/BiomeGenBeach
ahs,net/minecraft/world/NextTickListEntry,net/minecraft/world/NextTickListEntry
ahv,net/minecraft/world/biome/BiomeGenBase$Height,net/minecraft/world/biome/BiomeGenBase$Height
ahu,net/minecraft/world/biome/BiomeGenBase,net/minecraft/world/biome/BiomeGenBase
ahx,net/minecraft/world/biome/BiomeGenBase$SpawnListEntry,net/minecraft/world/biome/BiomeGenBase$SpawnListEntry
ahw,net/minecraft/world/biome/BiomeGenBase$TempCategory,net/minecraft/world/biome/BiomeGenBase$TempCategory
ahz,net/minecraft/world/biome/BiomeCache$Block,net/minecraft/world/biome/BiomeCache$Block
ahy,net/minecraft/world/biome/BiomeCache,net/minecraft/world/biome/BiomeCache
aia,net/minecraft/world/biome/BiomeDecorator,net/minecraft/world/biome/BiomeDecorator
aic,net/minecraft/world/biome/BiomeGenDesert,net/minecraft/world/biome/BiomeGenDesert
aib,net/minecraft/world/biome/WorldChunkManager,net/minecraft/world/biome/WorldChunkManager
aie,net/minecraft/world/biome/WorldChunkManagerHell,net/minecraft/world/biome/WorldChunkManagerHell
aid,net/minecraft/world/biome/BiomeGenHills,net/minecraft/world/biome/BiomeGenHills
aig,net/minecraft/world/biome/BiomeGenForest$1,net/minecraft/world/biome/BiomeGenForest$1
aif,net/minecraft/world/biome/BiomeGenForest,net/minecraft/world/biome/BiomeGenForest
aii,net/minecraft/world/biome/BiomeGenHell,net/minecraft/world/biome/BiomeGenHell
aih,net/minecraft/world/biome/BiomeGenForest$2,net/minecraft/world/biome/BiomeGenForest$2
aik,net/minecraft/world/biome/BiomeGenJungle,net/minecraft/world/biome/BiomeGenJungle
aij,net/minecraft/world/biome/BiomeGenSnow,net/minecraft/world/biome/BiomeGenSnow
aim,net/minecraft/world/biome/BiomeGenMushroomIsland,net/minecraft/world/biome/BiomeGenMushroomIsland
ail,net/minecraft/world/biome/BiomeGenMesa,net/minecraft/world/biome/BiomeGenMesa
aio,net/minecraft/world/biome/BiomeGenOcean,net/minecraft/world/biome/BiomeGenOcean
ain,net/minecraft/world/biome/BiomeGenMutated,net/minecraft/world/biome/BiomeGenMutated
aip,net/minecraft/world/biome/BiomeGenPlains,net/minecraft/world/biome/BiomeGenPlains
ais,net/minecraft/world/biome/BiomeGenSavanna,net/minecraft/world/biome/BiomeGenSavanna
air,net/minecraft/world/biome/BiomeGenRiver,net/minecraft/world/biome/BiomeGenRiver
aiu,net/minecraft/world/biome/BiomeGenStoneBeach,net/minecraft/world/biome/BiomeGenStoneBeach
ait,net/minecraft/world/biome/BiomeGenSavanna$Mutated,net/minecraft/world/biome/BiomeGenSavanna$Mutated
aiw,net/minecraft/world/biome/BiomeGenTaiga,net/minecraft/world/biome/BiomeGenTaiga
aiv,net/minecraft/world/biome/BiomeGenSwamp,net/minecraft/world/biome/BiomeGenSwamp
aiy,net/minecraft/world/biome/BiomeEndDecorator,net/minecraft/world/biome/BiomeEndDecorator
aix,net/minecraft/world/biome/BiomeGenEnd,net/minecraft/world/biome/BiomeGenEnd
aiz,net/minecraft/world/gen/feature/WorldGenWaterlily,net/minecraft/world/gen/feature/WorldGenWaterlily
ajb,net/minecraft/block/BlockAnvil,net/minecraft/block/BlockAnvil
aja,net/minecraft/block/BlockAir,net/minecraft/block/BlockAir
ajd,net/minecraft/block/BlockBasePressurePlate,net/minecraft/block/BlockBasePressurePlate
ajc,net/minecraft/block/BlockContainer,net/minecraft/block/BlockContainer
ajf,net/minecraft/block/BlockRailBase$Rail,net/minecraft/block/BlockRailBase$Rail
aje,net/minecraft/block/BlockRailBase,net/minecraft/block/BlockRailBase
ajh,net/minecraft/block/BlockBed,net/minecraft/block/BlockBed
ajg,net/minecraft/block/BlockBeacon,net/minecraft/block/BlockBeacon
ajj,net/minecraft/block/Block$1,net/minecraft/block/Block$1
aji,net/minecraft/block/Block,net/minecraft/block/Block
ajl,net/minecraft/block/Block$3,net/minecraft/block/Block$3
ajk,net/minecraft/block/Block$2,net/minecraft/block/Block$2
ajn,net/minecraft/init/Blocks,net/minecraft/init/Blocks
ajm,net/minecraft/block/Block$SoundType,net/minecraft/block/Block$SoundType
ajp,net/minecraft/block/BlockBookshelf,net/minecraft/block/BlockBookshelf
ajo,net/minecraft/block/IGrowable,net/minecraft/block/IGrowable
ajr,net/minecraft/block/BlockBush,net/minecraft/block/BlockBush
ajq,net/minecraft/block/BlockBrewingStand,net/minecraft/block/BlockBrewingStand
ajt,net/minecraft/block/BlockCactus,net/minecraft/block/BlockCactus
ajs,net/minecraft/block/BlockButton,net/minecraft/block/BlockButton
ajv,net/minecraft/block/BlockCarrot,net/minecraft/block/BlockCarrot
aju,net/minecraft/block/BlockCake,net/minecraft/block/BlockCake
ajx,net/minecraft/block/BlockChest,net/minecraft/block/BlockChest
ajw,net/minecraft/block/BlockCauldron,net/minecraft/block/BlockCauldron
net/minecraft/realms/DisconnectedOnlineScreen,net/minecraft/realms/DisconnectedOnlineScreen,net/minecraft/realms/DisconnectedOnlineScreen
ajz,net/minecraft/block/BlockCocoa,net/minecraft/block/BlockCocoa
ajy,net/minecraft/block/BlockClay,net/minecraft/block/BlockClay
aka,net/minecraft/block/BlockColored,net/minecraft/block/BlockColored
akc,net/minecraft/block/BlockRedstoneComparator,net/minecraft/block/BlockRedstoneComparator
akb,net/minecraft/block/BlockCommandBlock,net/minecraft/block/BlockCommandBlock
ake,net/minecraft/block/BlockWorkbench,net/minecraft/block/BlockWorkbench
akg,net/minecraft/block/BlockDaylightDetector,net/minecraft/block/BlockDaylightDetector
akf,net/minecraft/block/BlockCrops,net/minecraft/block/BlockCrops
aki,net/minecraft/block/BlockRailDetector,net/minecraft/block/BlockRailDetector
akh,net/minecraft/block/BlockDeadBush,net/minecraft/block/BlockDeadBush
akk,net/minecraft/block/BlockDirectional,net/minecraft/block/BlockDirectional
akj,net/minecraft/block/BlockRedstoneDiode,net/minecraft/block/BlockRedstoneDiode
akm,net/minecraft/block/BlockDispenser,net/minecraft/block/BlockDispenser
akl,net/minecraft/block/BlockDirt,net/minecraft/block/BlockDirt
ako,net/minecraft/block/BlockDoublePlant,net/minecraft/block/BlockDoublePlant
akn,net/minecraft/block/BlockDoor,net/minecraft/block/BlockDoor
akq,net/minecraft/block/BlockDropper,net/minecraft/block/BlockDropper
akp,net/minecraft/block/BlockDragonEgg,net/minecraft/block/BlockDragonEgg
aks,net/minecraft/block/BlockEnchantmentTable,net/minecraft/block/BlockEnchantmentTable
akr,net/minecraft/block/BlockDynamicLiquid,net/minecraft/block/BlockDynamicLiquid
aku,net/minecraft/block/BlockEndPortalFrame,net/minecraft/block/BlockEndPortalFrame
akt,net/minecraft/block/BlockEndPortal,net/minecraft/block/BlockEndPortal
akw,net/minecraft/block/ITileEntityProvider,net/minecraft/block/ITileEntityProvider
akv,net/minecraft/block/BlockEnderChest,net/minecraft/block/BlockEnderChest
aky,net/minecraft/block/BlockFarmland,net/minecraft/block/BlockFarmland
akx,net/minecraft/block/BlockFalling,net/minecraft/block/BlockFalling
akz,net/minecraft/block/BlockFence,net/minecraft/block/BlockFence
alb,net/minecraft/block/BlockFire,net/minecraft/block/BlockFire
ala,net/minecraft/block/BlockFenceGate,net/minecraft/block/BlockFenceGate
ald,net/minecraft/block/BlockFlowerPot,net/minecraft/block/BlockFlowerPot
alc,net/minecraft/block/BlockFlower,net/minecraft/block/BlockFlower
alf,net/minecraft/block/BlockGlass,net/minecraft/block/BlockGlass
ale,net/minecraft/block/BlockFurnace,net/minecraft/block/BlockFurnace
alh,net/minecraft/block/BlockGrass,net/minecraft/block/BlockGrass
alg,net/minecraft/block/BlockGlowstone,net/minecraft/block/BlockGlowstone
alj,net/minecraft/block/BlockSlab,net/minecraft/block/BlockSlab
ali,net/minecraft/block/BlockGravel,net/minecraft/block/BlockGravel
all,net/minecraft/block/BlockHardenedClay,net/minecraft/block/BlockHardenedClay
alk,net/minecraft/block/BlockBreakable,net/minecraft/block/BlockBreakable
aln,net/minecraft/block/BlockHopper,net/minecraft/block/BlockHopper
alm,net/minecraft/block/BlockHay,net/minecraft/block/BlockHay
alp,net/minecraft/block/BlockIce,net/minecraft/block/BlockIce
alo,net/minecraft/block/BlockHugeMushroom,net/minecraft/block/BlockHugeMushroom
alr,net/minecraft/block/BlockJukebox$TileEntityJukebox,net/minecraft/block/BlockJukebox$TileEntityJukebox
alq,net/minecraft/block/BlockJukebox,net/minecraft/block/BlockJukebox
alt,net/minecraft/block/BlockLeaves,net/minecraft/block/BlockLeaves
